											
Stock Diario Teclados N°2											
											
BARRA											
Producto	Unidades	Porciones	Stock requerido	Inicio		Reposición		Inicio Turno		Final Turno	
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"
            },
            {
                "Producto": "TOMATE",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"       
            } 
        },
        {
            "Productos-de": "BAR",
            {
                "Producto": "CERVEZA",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"       
            },
            {
                "Producto": "VINO TINTO",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"       
            },
            {
                "Producto": "VINO BLANCO",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"       
            },
            {
                "Producto": "PISCO",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"       
            },
            {
                "Producto": "RON",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"       
            },
            {
                "Producto": "WHISKY",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"       
            },
            {
                "Producto": "AGUA MINERAL",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"       
            } 
        },
        {
            "Productos-de": "BARRA",
            {
                "Producto": "PISCO SOUR",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",
                "Final Turno": "0"       
            },
            {
                "Producto": "RON COCA COLA",
                "Stock requerido": "0",
                "Inicio": "0",
                "Reposición": "0",
                "Inicio turno": "0",

import pandas as pd
import json
import numpy as np
import os

os.chdir(os.getcwd())
xlsx_files = glob.glob('*.xlsx')
var = "stock diario"
    # var might be in uppercase or lowercase, so we need to convert the file name to lowercase and then check if var is in the file name

#save the filtered files in a new list
filtered_files = []
for file in xlsx_files:
    if var in file.lower() and not file.startswith('~'):
        filtered_files.append(file)

#if the file has something like "t1" "t2" "t3" "t4" "t5" "t6" "t7" "TECLADOS 1" "TECLADOS 2" "TECLADOS 3" "TECLADOS 4" "TECLADOS 5" "TECLADOS 6" "TECLADOS 7" in the name, print the name of the file create a new list for each instance found and append the file name to the list
array = [["t1"],["t2"],["t3"],["t4"],["t5"],["t6"],["t7"],["T1"],["T2"],["T3"],["T4"],["T5"],["T6"],["T7"],["TECLADOS 1"],["TECLADOS 2"],["TECLADOS 3"],["TECLADOS 4"],["TECLADOS 5"],["TECLADOS 6"],["TECLADOS 7"]]
for file in filtered_files:
    for i in range(len(array)):
        if array[i][0] in file:
            array[i].append(file)

output = []
for i in range(len(array)):
    if len(array[i]) > 1:
        print(array[i])
        output.append(array[i])

# extract the data of the files of each list and save it in a set of dataframes translate NaNto string and print the dataframes
import pandas as pd
for i in range(len(output)):
    for j in range(1,len(output[i])):
        df = pd.read_excel(output[i][j])
        df = df.fillna('')
        print(df)
        print('\n\n')

# sear for the values I need and print them

for i in range(len(output)):
    for j in range(1,len(output[i])):
        df = pd.read_excel(output[i][j])
        df = df.fillna('')
        print(df.loc[df['Unnamed: 1'] == 'SPONGI'])
        print('\n\n')

['T1', 'STOCK DIARIO T1 03-01-24.xlsx', 'STOCK DIARIO T1 04-01-24.xlsx', 'STOCK DIARIO T1 05-01-24.xlsx']
['T2', 'STOCK DIARIO T2 02-01-24.xlsx', 'STOCK DIARIO T2 03-01-24.xlsx', 'STOCK DIARIO T2 04-01-24.xlsx', 'STOCK DIARIO T2 05-01-24.xlsx']
['T3', 'STOCK DIARIO T3 02-01-24.xlsx', 'STOCK DIARIO T3 03-01-24.xlsx', 'STOCK DIARIO T3 04-01-24.xlsx', 'STOCK DIARIO T3 05-01-24.xlsx', 'STOCK DIARIO T3 06-01-24.xlsx']
['T4', 'STOCK DIARIO ACT. T4 02-01-24.xlsx', 'STOCK DIARIO ACT. T4 03-01-24.xlsx', 'STOCK DIARIO ACT. T4 04-01-24.xlsx', 'STOCK DIARIO ACT. T4 05-01-24.xlsx', 'STOCK DIARIO ACT. T4 06-01-24.xlsx']
['TECLADOS 5', 'STOCK DIARIO TECLADOS 5  01-01-2024.xlsx', 'STOCK DIARIO TECLADOS 5  03-01-2024.xlsx', 'STOCK DIARIO TECLADOS 5  04-01-2024.xlsx', 'STOCK DIARIO TECLADOS 5  05-01-2024.xlsx', 'STOCK DIARIO TECLADOS 5  06-01-2024.xlsx']
['TECLADOS 6', 'STOCK DIARIO TECLADOS 6 03-01-2024.xlsx', 'STOCK DIARIO TECLADOS 6 04-01-2024.xlsx', 'STOCK DIARIO TECLADOS 6 05-01-2024.xlsx', 'STOCK DIARIO TECLADOS 6 06-01-2024.xlsx']
['TECLADOS 7', 'STOCK DIARIO TECLADOS 7 (02.01.24).xlsx', 'STOCK DIARIO TECLADOS 7 (03.01.24).xlsx', 'STOCK DIARIO TECLADOS 7 (04.01.24).xlsx', 'STOCK DIARIO TECLADOS 7 (05.01.24).xlsx', 'STOCK DIARIO TECLADOS 7 (06.01.24).xlsx']
    Stock Diario Teclados N°1 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         2023-12-15 00:00:00                                          
1                      COCINA                                          
2                    Producto   Unidades  Stock requerido              
3                                                           Unidades   
4                       POLLO                                          
..                        ...        ...              ...        ...   
129                   TRAPERO        UNI                1              
130            VIRUTILLA FINA        UNI                2              
131          VIRUTILLA GRUESA        UNI                2              
132                                                                    
133                                                                    

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
129                                                                       0   
130                                                                       2   
131                                                                       1   
132                                                                           
133                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
129              
130              
131              
132              
133              

[134 rows x 11 columns]



    Stock Diario Teclados N°1 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         2023-12-15 00:00:00                                          
1                      COCINA                                          
2                    Producto   Unidades  Stock requerido              
3                                                           Unidades   
4                       POLLO                                          
..                        ...        ...              ...        ...   
129                   TRAPERO        UNI                1              
130            VIRUTILLA FINA        UNI                2              
131          VIRUTILLA GRUESA        UNI                2              
132                                                                    
133                                                                    

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
129                                                                       0   
130                                                                       0   
131                                                                       1   
132                                                                           
133                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
129              
130              
131              
132              
133              

[134 rows x 11 columns]



    Stock Diario Teclados N°1 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         2023-12-15 00:00:00                                          
1                      COCINA                                          
2                    Producto   Unidades  Stock requerido              
3                                                           Unidades   
4                       POLLO                                          
..                        ...        ...              ...        ...   
129                   TRAPERO        UNI                1              
130            VIRUTILLA FINA        UNI                2              
131          VIRUTILLA GRUESA        UNI                2              
132                                                                    
133                                                                    

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
129                                                                       1   
130                                                                       0   
131                                                                       1   
132                                                                           
133                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
129              
130              
131              
132              
133              

[134 rows x 11 columns]



    Stock Diario Teclados N°2  \
0        Fecha:    30/12/2023   
1                      COCINA   
2                    Producto   
3                               
4                       POLLO   
..                        ...   
129                   TRAPERO   
130            VIRUTILLA FINA   
131          VIRUTILLA GRUESA   
132                             
133                             

                                          Unnamed: 1       Unnamed: 2  \
0                                                                       
1                                                                       
2                                           Unidades  Stock requerido   
3                                                                       
4                                                                       
..                                               ...              ...   
129                                              UNI                1   
130                                              UNI                2   
131                                              UNI                2   
132                                                                     
133  RECORDAR que los salmones estan saliendo dobles                    

    Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8  \
0                                                                           
1                                                                           
2       Inicio             Reposición             Inicio Turno              
3     Unidades  Porciones    Unidades  Porciones      Unidades  Porciones   
4                                                                           
..         ...        ...         ...        ...           ...        ...   
129          1                                               1              
130          0                                               0              
131          0                                               0              
132                                                                         
133                                                                         

      Unnamed: 9 Unnamed: 10  
0                             
1                             
2    Final Turno              
3       Unidades   Porciones  
4                             
..           ...         ...  
129            0              
130            0              
131            2              
132                           
133                           

[134 rows x 11 columns]



    Stock Diario Teclados N°2 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0        Fecha:    02/01/2024                                          
1                      COCINA                                          
2                    Producto   Unidades  Stock requerido     Inicio   
3                                                           Unidades   
4                       POLLO                                          
..                        ...        ...              ...        ...   
129                   TRAPERO        UNI                1          0   
130            VIRUTILLA FINA        UNI                2          0   
131          VIRUTILLA GRUESA        UNI                2          2   
132                                                                    
133            cheddar lamina                                          

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
129                                               0                       1   
130                                               0                       0   
131                                               2                       0   
132                                                                           
133                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
129              
130              
131              
132              
133              

[134 rows x 11 columns]



    Stock Diario Teclados N°2 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0        Fecha:    04/01/2024                                          
1                      COCINA                                          
2                    Producto   Unidades  Stock requerido     Inicio   
3                                                           Unidades   
4                       POLLO                                          
..                        ...        ...              ...        ...   
129                   TRAPERO        UNI                1          1   
130            VIRUTILLA FINA        UNI                2          0   
131          VIRUTILLA GRUESA        UNI                2          2   
132                                                                    
133            cheddar lamina                                          

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
129                                               1                       1   
130                                               0                       0   
131                                               2                       2   
132                                                                           
133                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
129              
130              
131              
132              
133              

[134 rows x 11 columns]



    Stock Diario Teclados N°2 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0        Fecha:    05/01/2024                                          
1                      COCINA                                          
2                    Producto   Unidades  Stock requerido     Inicio   
3                                                           Unidades   
4                       POLLO                                          
..                        ...        ...              ...        ...   
129                   TRAPERO        UNI                1              
130            VIRUTILLA FINA        UNI                2              
131          VIRUTILLA GRUESA        UNI                2              
132                                                                    
133            cheddar lamina                                          

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
129                                               0                       0   
130                                               0                       0   
131                                               0                       2   
132                                                                           
133                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
129              
130              
131              
132              
133              

[134 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-02 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          1                                     
128                1          0                                     
129                1          0                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-03 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          0                                     
128                1          0                                     
129                1          1                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-04 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          1                                     
128                1          1                                     
129                1          1                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-05 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          4                                     
128                1          1                                     
129                1          1                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



                             Stock Diario Teclados N°3      Unnamed: 1  \
0                                  2024-01-06 00:00:00                   
1                                                  ...                   
2                                             Producto        Unidades   
3                                                                        
4                                                POLLO                   
..                                                 ...             ...   
127                                             SPONGI             UNI   
128                                        TOALLA NOVA  1 ROLLO GRANDE   
129                                            TRAPERO             UNI   
130                                     VIRUTILLA FINA             UNI   
131                                   VIRUTILLA GRUESA             UNI   

          Unnamed: 2 Unnamed: 3 Unnamed: 4  Unnamed: 5 Unnamed: 6  \
0                                                                   
1                                                                   
2    Stock requerido     Inicio             Reposición              
3                      Unidades  Porciones    Unidades  Porciones   
4                                                                   
..               ...        ...        ...         ...        ...   
127                5          1                                     
128                1          1                                     
129                1          1                                     
130                2          2                                     
131                2          0                                     

       Unnamed: 7 Unnamed: 8   Unnamed: 9 Unnamed: 10  
0                                                      
1                                                      
2    Inicio turno             Final Turno              
3        Unidades  Porciones     Unidades   Porciones  
4                                                      
..            ...        ...          ...         ...  
127                                                    
128                                                    
129                                                    
130                                                    
131                                                    

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   3/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          2   
128               TOALLA NOVA  1 ROLLO GRANDE                1          0   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   3/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          1   
128               TOALLA NOVA  1 ROLLO GRANDE                1          0   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   4/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          0   
128               TOALLA NOVA  1 ROLLO GRANDE                1        0.5   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   5/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          2   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°4      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:   6/01/2024                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          1   
128               TOALLA NOVA  1 ROLLO GRANDE                1          0   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0          1   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          0   
137  BOLSAS DE BASURA CAGRA PESADA                          10          0   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0          1   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          1   
137  BOLSAS DE BASURA CARGA PESADA                          10          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0          0   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          1   
137  BOLSAS DE BASURA CARGA PESADA                          10          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0          0   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          1   
137  BOLSAS DE BASURA CARGA PESADA                          10          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



         Stock Diario Teclados N°5 Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0               Fecha:      /    /                                          
1                           COCINA                                          
2                         Producto   Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                            POLLO                                          
..                             ...        ...              ...        ...   
133                AROS DE CEBOLLA                           0         10   
134                 CACHO DE CABRA                                     12   
135                        MERLUZA                          10         20   
136      BOLSAS DE BASURA PEQUEÑA                           10          1   
137  BOLSAS DE BASURA CARGA PESADA                          10          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
133                                                                           
134                                                                           
135                                                                           
136                                                                           
137                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
133              
134              
135              
136              
137              

[138 rows x 11 columns]



    Stock Diario Teclados N°6      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:      /    /                                               
1                      COCINA                                               
